system,multiplicity,name,executions,total (μs),avg (μs),min (μs),max (μs),ops/s,μs/op
mysql,100,(once) initialize,1,115,115,115,115,8.646399201432404,115
mysql,100,(loop) insert_customer,75,169,20,2,150,442.59671658858633,1
mysql,100,(loop) insert_order,100,97,9,3,27,1025.7002111732108,0
mysql,100,(loop) insert_supplier,25,42,10,1,19,594.7179294490878,0
mysql,100,(loop) insert_category,10,20,1,1,3,497.93528643802046,0
mysql,100,(loop) insert_product,50,52,10,2,25,947.1738775203397,0
mysql,100,(loop) insert_lineitem,100,123,12,2,28,810.392676662909,1
mysql,100,(loop) select_simple,100,35,3,0,25,2829.4929709877088,0
mysql,100,(loop) select_medium,100,36,3,1,24,2710.3435273689947,0
mysql,100,(loop) select_complex,100,58,5,1,48,1705.8623221037212,0
mysql,500,(once) initialize,1,100,100,100,100,9.963881825133257,100
mysql,500,(loop) insert_customer,375,355,13,3,33,1054.246581134564,0
mysql,500,(loop) insert_order,500,513,14,3,54,973.7574717847102,1
mysql,500,(loop) insert_supplier,125,81,7,2,20,1526.039091920794,0
mysql,500,(loop) insert_category,50,40,8,1,17,1242.6920079071995,0
mysql,500,(loop) insert_product,250,233,11,2,31,1070.9526981869294,0
mysql,500,(loop) insert_lineitem,500,559,15,2,55,894.0491850215977,1
mysql,500,(loop) select_simple,500,101,2,0,26,4943.155393645906,0
mysql,500,(loop) select_medium,500,103,2,0,22,4818.033103896028,0
mysql,500,(loop) select_complex,500,482,13,2,63,1035.4532182256714,0
neo4j,100,(once) initialize,1,315,315,315,315,3.1703668800547615,315
neo4j,100,(loop) insert_customer,75,782,147,27,377,95.90253540409924,7
neo4j,100,(loop) insert_order,100,2583,309,40,893,38.71219015518855,25
neo4j,100,(loop) insert_supplier,25,262,62,13,96,95.27924643537281,2
neo4j,100,(loop) insert_category,10,160,16,14,21,62.1475507522846,1
neo4j,100,(loop) insert_product,50,1397,325,56,772,35.77524097531535,13
neo4j,100,(loop) insert_lineitem,100,3098,299,47,794,32.27670943845589,30
neo4j,100,(loop) select_simple,100,902,96,15,250,110.75046514226293,9
neo4j,100,(loop) select_medium,100,1165,146,14,372,85.80592317961647,11
neo4j,100,(loop) select_complex,100,1842,231,23,719,54.263899711205674,18
neo4j,500,(once) initialize,1,84,84,84,84,11.824733236383134,84
neo4j,500,(loop) insert_customer,375,1182,45,10,186,317.1717428615604,2
neo4j,500,(loop) insert_order,500,3606,104,22,337,138.63652097369095,7
neo4j,500,(loop) insert_supplier,125,316,32,7,71,394.48190754964304,0
neo4j,500,(loop) insert_category,50,145,28,7,82,344.03470957928107,0
neo4j,500,(loop) insert_product,250,3705,193,37,472,67.46975860966361,7
neo4j,500,(loop) insert_lineitem,500,6318,168,34,550,79.13454114042149,12
neo4j,500,(loop) select_simple,500,1300,34,7,81,384.3610493610742,2
neo4j,500,(loop) select_medium,500,1547,40,5,186,323.0384727915316,3
neo4j,500,(loop) select_complex,500,3976,113,18,541,125.72507255480156,7
postgres,100,(once) initialize,1,53,53,53,53,18.52783870760469,53
postgres,100,(loop) insert_customer,75,128,19,1,77,582.6007950450098,1
postgres,100,(loop) insert_order,100,147,17,1,73,676.0925506878755,1
postgres,100,(loop) insert_supplier,25,60,25,1,54,409.90564201667934,0
postgres,100,(loop) insert_category,10,14,1,1,1,688.9741808303683,0
postgres,100,(loop) insert_product,50,70,13,1,60,707.7132320506055,0
postgres,100,(loop) insert_lineitem,100,124,11,1,66,805.1707161600597,1
postgres,100,(loop) select_simple,100,73,7,0,67,1362.329518084107,0
postgres,100,(loop) select_medium,100,80,8,0,61,1242.9741816612234,0
postgres,100,(loop) select_complex,100,77,8,0,68,1295.9431110003395,0
postgres,500,(once) initialize,1,22,22,22,22,43.56601039119053,22
postgres,500,(loop) insert_customer,375,282,9,1,56,1326.0058321767556,0
postgres,500,(loop) insert_order,500,442,10,1,81,1130.0916048412573,0
postgres,500,(loop) insert_supplier,125,104,9,1,57,1201.539681785192,0
postgres,500,(loop) insert_category,50,83,16,1,56,601.000755205529,0
postgres,500,(loop) insert_product,250,266,12,1,81,939.6156032567077,0
postgres,500,(loop) insert_lineitem,500,444,10,1,76,1124.3693193235897,0
postgres,500,(loop) select_simple,500,171,4,0,67,2923.760574766888,0
postgres,500,(loop) select_medium,500,208,5,0,82,2400.1415238649265,0
postgres,500,(loop) select_complex,500,406,10,1,78,1228.719937631159,0
