system,multiplicity,name,executions,total (μs),avg (μs),min (μs),max (μs),ops/s,μs/op
mysql,100,(once) initialize,1,115,115,115,115,8.646399201432404,115
mysql,100,(loop) insert_customer,75,169,20,2,150,442.59671658858633,1
mysql,100,(loop) insert_order,100,97,9,3,27,1025.7002111732108,0
mysql,100,(loop) insert_supplier,25,42,10,1,19,594.7179294490878,0
mysql,100,(loop) insert_category,10,20,1,1,3,497.93528643802046,0
mysql,100,(loop) insert_product,50,52,10,2,25,947.1738775203397,0
mysql,100,(loop) insert_lineitem,100,123,12,2,28,810.392676662909,1
mysql,100,(loop) select_simple,100,35,3,0,25,2829.4929709877088,0
mysql,100,(loop) select_medium,100,36,3,1,24,2710.3435273689947,0
mysql,100,(loop) select_complex,100,58,5,1,48,1705.8623221037212,0
