system,multiplicity,name,executions,total (μs),avg (μs),min (μs),max (μs),ops/s,μs/op
neo4j,500,(once) initialize,1,84,84,84,84,11.824733236383134,84
neo4j,500,(loop) insert_customer,375,1182,45,10,186,317.1717428615604,2
neo4j,500,(loop) insert_order,500,3606,104,22,337,138.63652097369095,7
neo4j,500,(loop) insert_supplier,125,316,32,7,71,394.48190754964304,0
neo4j,500,(loop) insert_category,50,145,28,7,82,344.03470957928107,0
neo4j,500,(loop) insert_product,250,3705,193,37,472,67.46975860966361,7
neo4j,500,(loop) insert_lineitem,500,6318,168,34,550,79.13454114042149,12
neo4j,500,(loop) select_simple,500,1300,34,7,81,384.3610493610742,2
neo4j,500,(loop) select_medium,500,1547,40,5,186,323.0384727915316,3
neo4j,500,(loop) select_complex,500,3976,113,18,541,125.72507255480156,7
