system,multiplicity,name,executions,total (μs),avg (μs),min (μs),max (μs),ops/s,μs/op
postgres,500,(once) initialize,1,22,22,22,22,43.56601039119053,22
postgres,500,(loop) insert_customer,375,282,9,1,56,1326.0058321767556,0
postgres,500,(loop) insert_order,500,442,10,1,81,1130.0916048412573,0
postgres,500,(loop) insert_supplier,125,104,9,1,57,1201.539681785192,0
postgres,500,(loop) insert_category,50,83,16,1,56,601.000755205529,0
postgres,500,(loop) insert_product,250,266,12,1,81,939.6156032567077,0
postgres,500,(loop) insert_lineitem,500,444,10,1,76,1124.3693193235897,0
postgres,500,(loop) select_simple,500,171,4,0,67,2923.760574766888,0
postgres,500,(loop) select_medium,500,208,5,0,82,2400.1415238649265,0
postgres,500,(loop) select_complex,500,406,10,1,78,1228.719937631159,0
